 Procedimentos hospitalares do SUS - por local de internação - Brasil
Valor total por Unidade da Federação e Ano/mês atendimento
Período:Jan-Jun/2023
"Unidade da Federação";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"2021/Abr";"2021/Mai";"2021/Jun";"2021/Jul";"2021/Ago";"2021/Set";"2021/Out";"2021/Nov";"2021/Dez";"2022/Jan";"2022/Fev";"2022/Mar";"2022/Abr";"2022/Mai";"2022/Jun";"2022/Jul";"2022/Ago";"2022/Set";"2022/Out";"2022/Nov";"2022/Dez";"2023/Jan";"2023/Fev";"2023/Mar";"2023/Abr";"2023/Mai";"2023/Jun";"Total"
"24 Rio Grande do Norte";-;-;-;-;-;-;-;-;-;-;-;20924,23;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5964,15;-;-;-;-;-;-;-;-;-;-;-;-;14960,08;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11928,30;-;-;-;-;-;-;-;-;-;-;-;-;-;8995,93;-;8995,93;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11955,00;-;264,20;-;-;-;7925,97;-;-;-;-;-;38308,85;-;36855,75;-;23910,00;23910,00;11955,00;5416,08;-;24636,55;20313,68;199923,78;357825,70;1387197,44;5245177,60;8460463,99;14313034,35;25410870,70;24056036,97;28518837,49;22831197,90;21655505,56;10251253,37;162964544,55
"25 Paraíba";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8697,73;-;-;-;-;-;-;-;-;944,32;-;83023,31;265,29;-;-;49299,46;-;15286,03;205948,74;643195,71;2504325,24;7816647,10;14273019,90;23443003,48;21533961,99;25601630,97;22210996,51;19405438,61;9763153,35;147558837,74
"26 Pernambuco";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8156,26;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1794,00;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;18268,21;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12031,07;-;-;-;-;-;-;-;-;-;-;-;-;12405,74;-;-;-;12031,07;-;-;-;-;-;-;8156,26;-;8156,26;-;-;-;-;-;-;28980,92;36093,21;-;-;-;-;-;-;-;-;-;-;-;8156,26;-;-;-;-;12031,07;-;-;-;-;-;-;-;8156,26;-;-;-;8156,26;-;32625,04;-;-;11955,00;-;-;24647,35;12031,07;-;-;-;-;23247,87;12069,02;-;8156,26;-;26050,62;16399,87;-;12069,02;36771,96;14960,08;28194,05;6288,85;60107,70;34314,55;163918,77;647256,58;2789443,74;10199485,11;38942766,47;77880286,32;70438124,69;82116411,78;73982506,94;72832545,84;38304163,37;468839370,77
"27 Alagoas";27639,39;-;-;-;-;9213,13;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9213,13;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9213,13;-;-;-;-;9213,13;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9213,13;-;-;-;-;-;-;-;-;-;18426,26;-;-;-;-;-;-;-;14914,34;-;-;-;-;-;-;-;-;-;-;-;-;9213,13;10791,07;-;-;-;-;44743,02;-;-;7635,19;-;-;7635,19;-;29828,68;18426,26;14914,34;10284,31;-;2059,99;60053,70;166122,24;39055,89;31330,38;254759,80;801025,41;2628626,59;4746906,22;10518625,75;16897175,62;14762759,28;18065705,21;15250217,02;13640520,49;7594161,34;105719621,76
"28 Sergipe";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7803,09;-;-;8995,93;-;-;-;-;-;-;-;-;8995,93;-;-;-;8995,93;5864,74;-;-;-;1093,43;-;1441,34;-;-;8995,93;-;8995,93;-;-;-;-;8995,93;-;-;-;8995,93;1888,64;1192,83;23011,68;8995,93;-;497,01;8995,93;95311,49;118941,53;932591,15;4438190,46;8677641,29;11684879,31;14350201,52;13049436,38;14533614,62;9324790,50;5352797,00;2372141,74;85054293,12
"29 Bahia";505357,28;-;12780,41;-;12780,41;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12780,41;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;89525,02;231814,43;-;-;-;-;-;-;-;38315,48;-;-;-;-;18324,94;-;-;14088,58;-;-;-;-;17011,31;-;14543,51;-;36995,62;8890,23;-;-;-;-;-;-;-;-;-;-;15828,89;-;12780,41;-;-;-;26310,16;-;15390,59;-;-;-;25609,22;-;-;-;-;-;-;12780,41;12818,36;-;-;-;-;-;-;-;-;-;-;-;-;-;15275,21;-;14593,19;-;12828,81;-;3672,10;-;-;-;-;37764,04;-;-;-;-;-;-;33876,57;29283,42;89968,78;-;224,25;64950,27;16689,57;-;-;5408,65;5408,65;7669,03;59036,18;54258,07;597,36;20622,57;21171,28;2731,97;8982,51;14048,83;9777,25;41240,24;21901,54;1271,11;1121,25;54111,05;439040,72;1063964,82;4483921,26;14857153,91;30073003,61;56329117,45;90541135,69;81061528,84;93505208,99;73068340,32;69354167,60;32900282,43;549460075,06
"31 Minas Gerais";75541,17;-;-;-;-;-;-;-;6016,59;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5974,22;-;-;-;-;-;-;-;23583,74;12820,01;13529,75;-;-;-;-;-;-;-;-;-;17417,75;-;-;-;-;-;-;-;-;-;-;-;-;12780,41;4307,21;-;-;5974,22;-;5974,22;-;-;-;-;-;-;14882,67;-;-;-;-;20075,00;-;-;-;5974,22;-;11264,25;-;-;-;-;-;-;-;-;-;6016,59;-;12780,41;-;-;12780,41;12780,41;11015,16;2288,00;12780,41;-;-;-;-;-;13529,75;5974,22;-;4279,40;-;-;3643,85;13529,75;-;-;5974,22;-;-;12780,41;-;6016,59;12780,41;26662,95;39839,91;-;-;-;18797,00;19503,97;-;-;-;12780,41;-;39839,91;-;13529,75;2457,48;-;169,48;5974,22;37960,81;22242,15;-;-;12780,41;-;-;12780,41;7414,05;10732,72;19672,82;17385,45;50105,35;32326,75;27608,51;21480,79;31535,04;22602,04;21640,51;8815,52;12780,41;43723,45;13529,75;10591,50;113452,58;46373,77;96662,23;258536,51;545190,13;2000533,76;7258821,72;28988418,71;56315408,35;120893917,26;197566120,68;180875256,22;210973388,62;169010347,41;155671595,80;72895678,39;1204512031,08
"32 Espírito Santo";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;182,57;-;10212,47;96811,38;1223212,51;5596220,23;9175522,46;22539724,40;37347089,97;34841414,98;40716726,57;33067719,63;30824576,37;14489094,38;229928507,92
"33 Rio de Janeiro";144334,04;-;5827,39;-;-;6985,15;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;18286,37;-;-;6985,15;6985,15;-;-;-;-;-;-;-;6985,15;-;36767,30;-;12866,11;18909,75;6985,15;-;18928,14;18538,55;37856,28;13501,11;19553,28;19765,56;20812,24;12866,11;44316,23;31249,76;44234,23;13501,11;7704,87;6985,15;25691,32;18773,37;-;18306,24;25368,80;18218,92;72929,65;18356,42;-;23527,73;-;-;31826,28;20971,17;-;-;26237,72;50845,22;-;-;38660,72;-;31840,45;11932,11;-;34573,40;18342,41;-;61296,38;12240,97;73169,99;-;-;-;388561,02;297593,61;17455,89;44970,72;18414,92;202781,09;16824,51;111719,65;17643,86;-;67990,92;37479,26;22881,82;81581,99;26023,25;17768,37;18225,51;40208,53;50379,43;-;-;18393,51;75271,44;-;18393,51;19914,66;13333,11;13333,11;39739,52;-;106391,87;118023,89;15667,46;38874,82;34503,30;49998,57;11287,25;75357,95;84243,35;102966,26;79573,53;44860,27;141253,78;50079,44;72667,98;43338,44;32563,00;36073,28;134170,32;78265,79;85477,99;112009,09;33571,29;107448,45;267056,44;88922,44;94082,69;407539,21;51416,81;86726,36;29008,27;152000,83;90131,50;72532,01;111915,50;194874,82;554403,24;79558,16;158255,11;114409,71;864860,16;544393,69;1066372,72;3007096,38;5284864,77;17627207,16;31471156,05;63912516,16;110089793,24;94878857,57;112477382,17;90942797,07;80371766,63;39714502,08;659386788,13
"35 São Paulo";10142051,66;92952,52;51121,64;38341,23;44413,69;63902,05;38341,23;84351,49;58138,92;138006,53;279079,52;77285,71;26478,75;38944,48;38341,23;25560,82;32545,97;38341,23;84840,68;38944,48;153227,13;14122,00;38341,23;61482,82;25560,82;76687,13;82813,05;63266,56;515449,22;58106,79;292420,91;64819,98;70946,37;38341,23;43779,58;25560,82;65091,94;13383,66;73332,36;58868,79;90142,82;71490,45;76886,11;58901,40;63086,24;58527,09;38381,76;51121,64;51121,64;38944,48;84661,39;73455,26;58106,79;145541,37;422291,27;51700,52;63902,05;111950,97;51724,89;38898,51;39137,27;81491,36;70673,89;45326,38;31998,99;45326,38;656994,95;79601,85;15597,63;212702,32;26164,07;41635,21;25560,82;58106,79;64454,68;91217,77;194691,02;222543,31;51051,03;64547,33;65113,22;91850,51;86828,99;51121,64;84651,94;63902,05;168427,42;65407,15;65006,29;97530,94;90669,37;70949,24;51884,20;150284,74;59684,78;86297,60;129725,59;57593,94;85988,36;38944,48;70887,20;52311,53;5519,77;64864,16;67273,94;157350,98;88626,50;86709,63;86962,56;51538,62;68342,86;25560,82;155176,40;28321,30;162646,37;76054,57;114637,99;74249,64;93862,36;25560,82;103748,23;81009,29;90799,22;106680,02;172926,10;31701,96;129925,00;48011,75;288171,56;506351,51;137886,12;659394,98;113940,30;72738,02;74902,21;181398,88;464091,55;149433,94;143227,51;120443,02;324613,93;557679,57;212390,45;125827,96;121410,80;74890,91;89701,61;168264,54;166214,64;108033,14;107963,36;110015,57;165214,18;283834,15;170046,00;360106,26;341262,75;149150,32;157771,74;132934,34;346013,56;127611,72;203905,65;258989,57;213620,35;361396,48;242399,89;423357,36;168010,06;467060,95;851703,65;1654184,28;3825464,84;9262080,96;31442232,66;76991719,03;185717767,76;359782990,82;320688415,78;367970498,72;316869447,66;302054769,75;160264521,27;2168097836,55
