 Procedimentos hospitalares do SUS - por local de internação - Brasil
Valor total por Unidade da Federação e Ano/mês atendimento
Período:Jan-Jun/2023
"Unidade da Federação";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"2021/Abr";"2021/Mai";"2021/Jun";"2021/Jul";"2021/Ago";"2021/Set";"2021/Out";"2021/Nov";"2021/Dez";"2022/Jan";"2022/Fev";"2022/Mar";"2022/Abr";"2022/Mai";"2022/Jun";"2022/Jul";"2022/Ago";"2022/Set";"2022/Out";"2022/Nov";"2022/Dez";"2023/Jan";"2023/Fev";"2023/Mar";"2023/Abr";"2023/Mai";"2023/Jun";"Total"
"41 Paraná";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7669,03;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;54637,20;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14914,34;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5448,71;30788,82;10169,30;10169,30;1381,35;25960,93;6262,37;17737,81;13465,28;44368,26;252609,64;759317,02;5026961,12;24179201,85;43751910,31;83560175,66;138111828,03;127161321,15;149223551,12;119121772,47;113841082,07;58710605,25;863943308,39
"42 Santa Catarina";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3024,19;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7202,35;-;-;-;-;-;-;30299,80;7202,35;-;-;14517,36;27628,64;296858,93;-;-;-;11544,00;-;-;-;-;-;11544,00;-;7202,35;-;-;-;-;-;860,70;-;7202,35;-;-;-;-;7299,79;-;14404,70;3697,80;-;-;893,10;-;-;13929,76;15085,10;-;-;946,66;-;-;21607,05;11620,96;7202,35;-;-;-;-;860,70;13929,76;13929,76;13929,76;-;10877,03;-;-;-;22150,22;20779,20;-;13929,76;27859,52;-;-;-;31334,98;-;13878,96;24319,36;14404,70;20134,30;84408,17;57392,03;573464,71;3001118,76;14436620,41;27680127,92;50904537,53;79371412,16;74258053,51;85415323,66;74026022,03;61521707,71;25745512,40;497839793,30
"43 Rio Grande do Sul";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;16512,40;-;10105,60;-;-;12747,58;24397,35;-;-;10105,60;-;-;-;-;11955,00;-;8916,71;15751,92;29317,94;443261,06;430466,51;1340044,34;5414844,83;17646713,53;34346509,89;71673641,55;108491100,73;95941635,84;114756978,24;93964103,69;79743548,12;30204421,35;654537079,78
"50 Mato Grosso do Sul";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5964,15;2683,87;-;-;-;-;-;13343,32;-;-;-;-;-;664,70;-;22289,38;-;13059,81;-;-;47,27;14431,86;-;134565,70;457545,78;3481801,36;11490418,89;17687633,51;20389890,81;24776555,71;22119943,46;23898134,68;16463648,54;11226350,86;3872349,65;156071323,31
"51 Mato Grosso";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;353,05;7053,37;234760,03;525295,28;2942392,43;5489572,41;11555883,32;21677370,94;19482558,89;21697726,28;18248988,05;16228672,59;7977777,03;126068403,67
"52 Goiás";829895,26;-;-;-;-;26998,69;13066,96;13761,79;14045,98;-;13028,26;-;13093,30;-;-;13116,65;-;-;-;26091,69;13104,34;27278,38;12892,86;-;-;-;-;-;4322,30;-;-;-;-;-;-;13791,49;-;14387,79;-;-;-;-;26535,54;13074,62;-;-;26886,33;-;26219,28;-;40657,11;-;13398,44;-;13431,73;16290,70;26315,25;-;-;14378,45;26633,72;14417,86;-;12961,82;-;-;26667,09;-;-;-;-;-;13097,97;13163,35;-;-;-;13163,35;-;-;53534,32;-;-;26743,95;26399,14;13177,17;27457,71;20681,68;14350,06;14372,44;-;-;41284,42;26135,94;13253,90;12959,35;28906,46;-;-;13491,10;38369,06;27777,13;13103,75;12880,16;-;4322,30;27143,12;39865,13;-;-;13251,65;-;14418,34;27643,23;-;18321,59;67245,16;52937,81;26208,64;13342,46;13125,99;58651,84;41323,41;62356,93;14239,63;27817,35;61492,22;26148,10;39326,97;-;-;12999,50;13049,56;54085,43;26307,42;19414,70;100667,69;55499,23;-;26939,57;12972,05;83286,18;27188,19;26854,75;-;27205,23;-;51437,06;12953,79;40059,16;13224,06;41017,24;-;57263,35;14097,35;26504,29;-;-;-;26005,65;-;13823,61;17861,55;27477,73;30187,99;27858,25;39073,85;117547,38;-;18488,16;52411,30;409619,14;1362401,42;1789674,19;5301662,89;9757285,38;23473754,85;46250811,90;41811249,07;47179946,80;39139896,96;35276241,70;16952790,48;272279324,01
"53 Distrito Federal";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9973,51;-;9973,51;-;-;-;-;9973,51;-;-;-;-;-;-;-;-;12800,25;3104,34;-;-;-;9973,51;3158,92;17936,24;71502,96;770817,12;2711148,13;5520945,55;12696135,91;29279773,54;24905184,98;28499214,16;25290631,21;21651682,83;13339638,25;164813568,43
"Total";11724818,80;92952,52;69729,44;38341,23;57194,10;107099,02;51408,19;98113,28;78201,49;138006,53;292107,78;98209,94;39572,05;38944,48;38341,23;38677,47;32545,97;38341,23;93289,89;65036,17;166331,47;41400,38;59390,35;61482,82;25560,82;82661,35;82813,05;63266,56;519771,52;58106,79;301416,84;83106,35;70946,37;79916,83;76365,15;59867,21;65091,94;33735,60;73332,36;58868,79;90142,82;71490,45;103421,65;78961,17;63086,24;114506,14;65268,09;63987,75;96250,67;45929,63;140278,58;92383,40;90043,78;183397,65;449224,11;177069,52;341797,29;132763,21;86367,34;101900,40;97020,75;140143,45;108417,43;65993,07;83273,84;71017,70;702435,41;79601,85;33903,87;265609,19;44382,99;132471,72;71103,79;71270,14;87982,41;91217,77;223761,95;284544,25;72022,20;79090,84;163541,21;200013,80;157828,69;86861,52;118720,11;115739,94;203087,48;117929,28;118493,45;120899,31;125242,77;89291,65;111113,51;305464,62;105162,41;194203,28;167627,98;105918,71;126397,41;784176,78;409137,87;143707,41;63594,24;116699,17;278211,29;213102,94;253637,39;171068,30;101932,71;140069,47;141345,03;64640,92;285825,69;191064,04;230037,70;112601,67;222091,68;202610,86;138062,86;46105,63;148048,14;223928,50;138139,22;200210,87;241043,13;112692,33;251615,20;151298,64;336494,46;670043,84;324127,08;712921,82;165864,68;193842,95;191028,71;250925,44;694871,44;298775,69;321397,83;237569,86;404053,30;802260,38;311830,58;292246,84;201905,73;210156,68;155058,31;488522,10;332379,77;262640,58;344090,59;303394,36;315299,38;637932,36;384214,40;595389,34;850653,61;384222,36;353256,91;257920,69;655034,79;325235,05;429370,57;530276,98;620529,14;1159898,58;590738,58;936613,17;484245,96;1824525,70;2575478,15;5737702,66;17444340,68;58244799,86;227947187,84;461940154,52;950620954,66;1619328743,26;1454656959,72;1687709924,89;1391281647,49;1257670836,85;608206723,45;9792405349,30
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a  atualização.
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
      
      Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
      De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
      A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
      
 
